source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
19_1_3,dismissed_point,3,,28_1D_1L:19_1_3 | 28_1D_2L:19_1_3,,,,,ambiguous_subdistrict | dismissed_point
19_1_3_D,operator_activity,3,,,28_1D_1L:19_1_3 | 28_1D_2L:19_1_3,,,,ambiguous_subdistrict | operator_activity
19_1_4,meter_reading,3,,28_1D_1L:19_1_4 | 28_1D_2L:19_1_4,,,,,ambiguous_subdistrict
19_1_4_E,operator_activity,3,,,28_1D_1L:19_1_4 | 28_1D_2L:19_1_4,,,,ambiguous_subdistrict | operator_activity
19_1_4_F,operator_activity,3,,,28_1D_1L:19_1_4 | 28_1D_2L:19_1_4,,,,ambiguous_subdistrict | operator_activity
19_1_5,meter_reading,3,,28_1D_1L:19_1_5 | 28_1D_2L:19_1_5,,,,,ambiguous_subdistrict
19_1_5_G,operator_activity,3,,,28_1D_1L:19_1_5 | 28_1D_2L:19_1_5,,,,ambiguous_subdistrict | operator_activity
19_1_6,operator_activity,3,,28_1D_1L:19_1_6 | 28_1D_2L:19_1_6,,,,,ambiguous_subdistrict | operator_activity
19_1_6_H,operator_activity,3,,,28_1D_1L:19_1_6 | 28_1D_2L:19_1_6,,,,ambiguous_subdistrict | operator_activity
1_1_12,operator_activity,3,,28_1D_1L:1_1_12 | 28_1D_2L:1_1_12,,,,,ambiguous_subdistrict | operator_activity
1_1_13,operator_activity,3,,28_1D_1L:1_1_13 | 28_1D_2L:1_1_13,,,,,ambiguous_subdistrict | operator_activity
1_1_14,operator_activity,3,,28_1D_1L:1_1_14 | 28_1D_2L:1_1_14,,,,,ambiguous_subdistrict | operator_activity
1_1_14_C,operator_activity,3,,,28_1D_1L:1_1_14 | 28_1D_2L:1_1_14,,,,ambiguous_subdistrict | operator_activity
1_1_15,dismissed_point,3,,28_1D_1L:1_1_15 | 28_1D_2L:1_1_15,,,,,ambiguous_subdistrict | dismissed_point
